timestamp,cash,position_quantity,position_mark_value,realized_equity,mtm_equity,unrealized_pnl,drawdown,drawdown_pct
2024-12-15 21:55:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 22:00:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 22:05:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 22:10:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 22:15:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 22:20:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 22:25:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 22:30:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 22:35:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 22:40:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 22:45:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 22:50:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 22:55:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 23:00:00+00:00,6.7649284161599335,0.0,0.0,6.764928416159961,6.7649284161599335,-2.7533531010703882e-14,14.17268057872742,0.6769006232845486
2024-12-15 23:05:00+00:00,-6.137312880127865e-13,6.528641365454674e-05,6.760276255372733,6.764928416159961,6.760276255372119,-0.004652160787841808,14.177332739515233,0.6771228148819248
2024-12-15 23:10:00+00:00,-6.137312880127865e-13,6.528641365454674e-05,6.766284564021361,6.764928416159961,6.766284564020747,0.0013561478607861943,14.171324430866605,0.6768358523806146
2024-12-15 23:15:00+00:00,-6.137312880127865e-13,6.528641365454674e-05,6.789525221554107,6.764928416159961,6.789525221553493,0.02459680539353215,14.148083773333859,0.6757258566051456
2024-12-15 23:20:00+00:00,-6.137312880127865e-13,6.528641365454674e-05,6.831309179157153,6.764928416159961,6.8313091791565395,0.06638076299657847,14.106299815730813,0.6737302152874933
2024-12-15 23:25:00+00:00,-6.137312880127865e-13,6.528641365454674e-05,6.841247077043648,6.764928416159961,6.841247077043034,0.07631866088307326,14.096361917844318,0.6732555718891511
2024-12-15 23:30:00+00:00,-6.137312880127865e-13,6.528641365454674e-05,6.834345650256226,6.764928416159961,6.834345650255612,0.06941723409565093,14.10326334463174,0.6735851905571235
2024-12-15 23:35:00+00:00,-6.137312880127865e-13,6.528641365454674e-05,6.850719482800787,6.764928416159961,6.850719482800173,0.08579106664021197,14.086889512087179,0.6728031608349828
2024-12-15 23:40:00+00:00,-6.137312880127865e-13,6.528641365454674e-05,6.836809559507548,6.764928416159961,6.836809559506935,0.07188114334697371,14.100799435380416,0.6734675119219018
2024-12-15 23:45:00+00:00,-6.137312880127865e-13,6.528641365454674e-05,6.841652505672442,6.764928416159961,6.841652505671829,0.07672408951186771,14.095956489215524,0.6732362082345479
2024-12-15 23:50:00+00:00,-6.137312880127865e-13,6.528641365454674e-05,6.827439000555712,6.764928416159961,6.827439000555098,0.06251058439513724,14.110169994332253,0.6739150586763629
2024-12-15 23:55:00+00:00,-6.137312880127865e-13,6.528641365454674e-05,6.820079263144435,6.764928416159961,6.820079263143821,0.05515084698386019,14.11752973174353,0.6742665666930172
2024-12-16 00:00:00+00:00,-6.137312880127865e-13,6.528641365454674e-05,6.829481812438962,6.764928416159961,6.829481812438348,0.06455339627838708,14.108127182449003,0.6738174920495457
2024-12-16 00:05:00+00:00,-6.137312880127865e-13,6.528641365454674e-05,6.834702766938916,6.764928416159961,6.834702766938302,0.06977435077834127,14.102906227949049,0.6735681343267402
2024-12-16 00:10:00+00:00,-6.137312880127865e-13,6.528641365454674e-05,6.824006893789892,6.764928416159961,6.824006893789278,0.05907847762931695,14.113602101098074,0.6740789793402103
2024-12-16 00:15:00+00:00,-6.137312880127865e-13,6.528641365454674e-05,6.839301541916742,6.764928416159961,6.839301541916129,0.07437312575616772,14.098307452971223,0.6733484924861199
2024-12-16 00:20:00+00:00,-6.137312880127865e-13,6.528641365454674e-05,6.864995662874626,6.764928416159961,6.864995662874012,0.1000672467140511,14.07261333201334,0.6721213169779634
2024-12-16 00:25:00+00:00,-6.137312880127865e-13,6.528641365454674e-05,6.871179591975984,6.764928416159961,6.871179591975371,0.10625117581540966,14.066429402911982,0.6718259666777994
2024-12-16 00:30:00+00:00,6.882997097022888,0.0,0.0,6.8829970970229155,6.882997097022888,-2.7533531010703882e-14,14.054611897864465,0.6712615514644671
2024-12-16 00:35:00+00:00,6.882997097022888,0.0,0.0,6.8829970970229155,6.882997097022888,-2.7533531010703882e-14,14.054611897864465,0.6712615514644671
2024-12-16 00:40:00+00:00,6.882997097022888,0.0,0.0,6.8829970970229155,6.882997097022888,-2.7533531010703882e-14,14.054611897864465,0.6712615514644671
2024-12-16 00:45:00+00:00,6.882997097022888,0.0,0.0,6.8829970970229155,6.882997097022888,-2.7533531010703882e-14,14.054611897864465,0.6712615514644671
2024-12-16 00:50:00+00:00,6.882997097022888,0.0,0.0,6.8829970970229155,6.882997097022888,-2.7533531010703882e-14,14.054611897864465,0.6712615514644671
2024-12-16 00:55:00+00:00,6.882997097022888,0.0,0.0,6.8829970970229155,6.882997097022888,-2.7533531010703882e-14,14.054611897864465,0.6712615514644671
2024-12-16 01:00:00+00:00,6.882997097022888,0.0,0.0,6.8829970970229155,6.882997097022888,-2.7533531010703882e-14,14.054611897864465,0.6712615514644671
2024-12-16 01:05:00+00:00,6.882997097022888,0.0,0.0,6.8829970970229155,6.882997097022888,-2.7533531010703882e-14,14.054611897864465,0.6712615514644671
2024-12-16 01:10:00+00:00,6.882997097022888,0.0,0.0,6.8829970970229155,6.882997097022888,-2.7533531010703882e-14,14.054611897864465,0.6712615514644671
2024-12-16 01:15:00+00:00,6.882997097022888,0.0,0.0,6.8829970970229155,6.882997097022888,-2.7533531010703882e-14,14.054611897864465,0.6712615514644671
2024-12-16 01:20:00+00:00,6.882997097022888,0.0,0.0,6.8829970970229155,6.882997097022888,-2.7533531010703882e-14,14.054611897864465,0.6712615514644671
2024-12-16 01:25:00+00:00,6.882997097022888,0.0,0.0,6.8829970970229155,6.882997097022888,-2.7533531010703882e-14,14.054611897864465,0.6712615514644671
2024-12-16 01:30:00+00:00,6.882997097022888,0.0,0.0,6.8829970970229155,6.882997097022888,-2.7533531010703882e-14,14.054611897864465,0.6712615514644671
2024-12-16 01:35:00+00:00,6.882997097022888,0.0,0.0,6.8829970970229155,6.882997097022888,-2.7533531010703882e-14,14.054611897864465,0.6712615514644671
2024-12-16 01:40:00+00:00,6.882997097022888,0.0,0.0,6.8829970970229155,6.882997097022888,-2.7533531010703882e-14,14.054611897864465,0.6712615514644671
2024-12-16 01:45:00+00:00,6.882997097022888,0.0,0.0,6.8829970970229155,6.882997097022888,-2.7533531010703882e-14,14.054611897864465,0.6712615514644671
2024-12-16 01:50:00+00:00,6.882997097022888,0.0,0.0,6.8829970970229155,6.882997097022888,-2.7533531010703882e-14,14.054611897864465,0.6712615514644671
2024-12-16 01:55:00+00:00,6.882997097022888,0.0,0.0,6.8829970970229155,6.882997097022888,-2.7533531010703882e-14,14.054611897864465,0.6712615514644671
2024-12-16 02:00:00+00:00,6.882997097022888,0.0,0.0,6.8829970970229155,6.882997097022888,-2.7533531010703882e-14,14.054611897864465,0.6712615514644671
2024-12-16 02:05:00+00:00,6.882997097022888,0.0,0.0,6.8829970970229155,6.882997097022888,-2.7533531010703882e-14,14.054611897864465,0.6712615514644671
2024-12-16 02:10:00+00:00,6.882997097022888,0.0,0.0,6.8829970970229155,6.882997097022888,-2.7533531010703882e-14,14.054611897864465,0.6712615514644671
2024-12-16 02:15:00+00:00,6.882997097022888,0.0,0.0,6.8829970970229155,6.882997097022888,-2.7533531010703882e-14,14.054611897864465,0.6712615514644671
