ending_cash,ending_realized_equity,ending_mtm_equity,total_net_pnl,signals,filled_trades,closed_trades,open_end_of_data,ignored_position_open,tp_count,sl_count,win_rate,average_R,profit_factor,max_drawdown,max_drawdown_pct,entry_slippage_last,sample_id
-2.220446049250313e-16,1.041458718459662,1.0392119176183001,-18.958541281540338,8750.0,1000.0,999.0,1.0,7750.0,321.0,678.0,0.3213213213213213,-0.2859319999999944,0.716811373206504,20.04057381107008,0.9509029470423441,0.0005199491754919163,24
-4.440892098500626e-16,1.2636397450691703,1.2543542279958955,-18.73636025493083,8733.0,1006.0,1005.0,1.0,7727.0,330.0,675.0,0.3283582089552239,-0.2648529925373071,0.7093479662446982,20.365163170520116,0.9431027867424323,0.0006308732472270069,25
-2.220446049250313e-16,1.2791320593870026,1.2717320208986154,-18.720867940612997,8848.0,986.0,985.0,1.0,7862.0,322.0,663.0,0.3269035532994924,-0.2692104157360348,0.6666912548201767,19.469274451060855,0.9400517360308046,0.0006386077986915372,26
0.0,0.8778038835720459,0.8751500252603489,-19.122196116427954,8801.0,1016.0,1015.0,1.0,7785.0,322.0,693.0,0.31724137931034485,-0.29815347241378654,0.6714884696838237,20.550973090409293,0.9598562303235693,0.0004382443561296652,27
-2.220446049250313e-16,1.3049512932574672,1.2945749634099089,-18.695048706742533,8727.0,963.0,962.0,1.0,7764.0,313.0,649.0,0.32536382536382535,-0.2738226730769174,0.7102522417199072,20.594316432302474,0.9420148018685874,0.0006514980737690468,28
-2.220446049250313e-16,0.904404001256097,0.9038909889360739,-19.095595998743903,8980.0,1016.0,1015.0,1.0,7964.0,323.0,692.0,0.31822660098522165,-0.2952022394088613,0.6391268436192153,19.909579194311696,0.9566421165645119,0.00045152448813352364,29
-1.1102230246251565e-16,0.950618737603758,0.9458984434136866,-19.049381262396242,8649.0,993.0,992.0,1.0,7656.0,315.0,677.0,0.3175403225806452,-0.29725798739918746,0.6375297738270232,20.184978515156313,0.956564798542726,0.00047459723564966406,30
0.0,1.2335190585231963,1.2263829004992737,-18.766480941476804,8934.0,977.0,976.0,1.0,7957.0,317.0,659.0,0.32479508196721313,-0.27552634477458415,0.7070071930425849,20.630463678811296,0.9446076640778936,0.0006158354681416171,31
-2.220446049250313e-16,1.5233508936363087,1.5215808947375256,-18.47664910636369,8605.0,1003.0,1002.0,1.0,7602.0,335.0,667.0,0.3343313373253493,-0.24696047754490338,0.6968120670988092,19.53579944007657,0.9289084943358669,0.0007605342651532757,32
-2.220446049250313e-16,1.2424170015787226,1.236275036823003,-18.757582998421277,8827.0,1024.0,1023.0,1.0,7803.0,337.0,686.0,0.32942326490713586,-0.2616626158357709,0.6943023731749289,19.608743594742222,0.9416859669051032,0.0006202777739894461,33
0.0,1.1875053799834419,1.183915203314286,-18.812494620016558,8752.0,961.0,960.0,1.0,7791.0,309.0,651.0,0.321875,-0.28427345468749343,0.6942104690438325,20.0528239012154,0.9443410993750551,0.0005928630989118005,34
-2.220446049250313e-16,1.513545247819863,1.5013602806064943,-18.486454752180137,8667.0,994.0,993.0,1.0,7673.0,331.0,662.0,0.3333333333333333,-0.2499499999999946,0.6888963067666485,19.5411881603052,0.9291647228055201,0.0007556387879086624,35
0.0,1.0683209420784543,1.0610190628886502,-18.931679057921546,8845.0,1017.0,1016.0,1.0,7828.0,329.0,687.0,0.32381889763779526,-0.2784505063976311,0.655134857416705,19.88074126491211,0.9503543464876346,0.0005333601641129397,36
-2.220446049250313e-16,1.586626731313448,1.5787483415391597,-18.413373268686552,8944.0,995.0,994.0,1.0,7949.0,333.0,661.0,0.335010060362173,-0.24492736167001436,0.6846504008837868,19.531787653177386,0.92703493018576,0.000792124782420522,37
-2.220446049250313e-16,1.2049955126924594,1.1970709615527788,-18.79500448730754,8616.0,986.0,985.0,1.0,7630.0,320.0,665.0,0.3248730964467005,-0.27529265228425787,0.700846932517734,19.490433339375326,0.9425059636652688,0.0006015950629542559,38
-2.220446049250313e-16,1.2339692955937984,1.225626939283362,-18.7660307044062,8854.0,996.0,995.0,1.0,7858.0,325.0,670.0,0.32663316582914576,-0.2700203618090393,0.6878351042657082,19.88820103834329,0.9424093470345971,0.000616060249392664,39
-2.220446049250313e-16,1.6241839004564262,1.616119020683434,-18.375816099543574,8712.0,986.0,985.0,1.0,7726.0,330.0,655.0,0.3350253807106599,-0.24488146954314174,0.7316719071783273,20.27753816386453,0.9290720301202466,0.0008108752319425816,40
-2.220446049250313e-16,1.8709977949274084,1.8573785188942438,-18.12900220507259,8802.0,989.0,988.0,1.0,7813.0,336.0,652.0,0.340080971659919,-0.22973743927124943,0.7165191361917055,19.606182686619906,0.914417296203497,0.0009340972844882172,41
0.0,1.2474242760057557,1.238257913949095,-18.752575723994244,8919.0,988.0,987.0,1.0,7931.0,322.0,665.0,0.3262411347517731,-0.2711946914893554,0.707186586959507,20.384219008475387,0.9433248089570506,0.0006227776601237406,42
-2.220446049250313e-16,1.3094104973854819,1.305451765831676,-18.690589502614518,8872.0,977.0,976.0,1.0,7895.0,319.0,657.0,0.32684426229508196,-0.2693880220286823,0.7080211009053823,19.77918547240657,0.9387771436559091,0.0006537243353275811,43
-2.220446049250313e-16,1.2128021899125443,1.2066041136243961,-18.787197810087456,8759.0,995.0,994.0,1.0,7764.0,324.0,670.0,0.32595573440643866,-0.2720496086519056,0.7143494872675408,19.894758812667614,0.9434880908007434,0.0006054925533799572,44
-2.220446049250313e-16,1.1271601932245687,1.121546800588882,-18.87283980677543,8685.0,1027.0,1026.0,1.0,7658.0,335.0,691.0,0.32651072124756336,-0.27038714473683617,0.7054786204686587,20.168312716831302,0.9475631820379036,0.0005627357116768161,45
-2.220446049250313e-16,1.4570858165631009,1.4580086536745476,-18.5429141834369,8670.0,978.0,977.0,1.0,7692.0,323.0,654.0,0.330603889457523,-0.2581260532241499,0.7087471008858066,19.11028859893088,0.9301915023862786,0.0007274513675044706,46
